title,id,genres,release_date,vote_average,vote_count,popularity,runtime,overview,keywords,tagline,status,spoken_languages,production_companies,production_countries,budget,revenue
Stargate: The Ark of Truth,13001,"['Adventure', 'Science Fiction']",2008-03-11,6.9,140,8.591387,97.0,"SG-1 searches for an ancient weapon which could help them defeat the Ori, and discover it may be in the Ori's own home galaxy. As the Ori prepare to send ships through to the Milky Way to attack Earth, SG-1 travels to the Ori galaxy aboard the Odyssey. The International Oversight committee have their own plans and SG-1 finds themselves in a distant galaxy fighting two powerful enemies.","['wormhole', 'space travel', 'supernatural powers', 'spaceship', 'alien']",The lines have been drawn. The battle has been waged. Only one thing can save us...,Released,['English'],"['Metro-Goldwyn-Mayer (MGM)', 'Kawoosh! Productions DTV I']","['Canada', 'United States of America']",7000000,8900000
The Cotton Club,2148,"['Music', 'Drama', 'Crime', 'Romance']",1984-12-14,6.6,68,8.59075,127.0,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.","['jazz', 'jazz musician', 'musical', 'mafia']",It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,Released,"['English', 'Italiano']","['Orion Pictures', 'PSO International', 'Totally Independent']",['United States of America'],58000000,25928721
Nine Queens,18079,"['Crime', 'Drama', 'Thriller']",2000-08-31,7.4,153,8.589355,114.0,An Argentinian crime drama revolving around a sheet of rare stamps (the Nine Queens).,"['hotel', 'con man', 'stamp', 'police', 'partner', 'money', 'scam', 'grifter', 'convenience store', 'swindle', 'rare stamps']",Sticky & Square,Released,['Español'],"['Naya Films S.A.', 'Patagonik Film Group']",['Argentina'],1500000,0
Idle Hands,6552,"['Thriller', 'Comedy', 'Horror']",1999-04-30,6.1,182,8.583217,92.0,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.","['teenager', 'attic', 'knitting needle', 'noise complaint', 'crawling hand', 'angel costume', 'trowel', 'bass guitarist', 'priestess']",The touching story of a boy and his right hand.,Released,['English'],"['Columbia Pictures Corporation', 'Team Todd', 'Licht/Mueller Film Corporation']",['United States of America'],25000000,4152230
Wristcutters: A Love Story,13198,"['Comedy', 'Drama', 'Fantasy', 'Romance']",2006-01-24,6.7,160,8.542921,88.0,"Zia, distraught over breaking up with his girlfriend, decides to end it all. Unfortunately, he discovers that there is no real ending, only a run-down afterlife that is strikingly similar to his old one, just a bit worse. Discovering that his ex-girlfriend has also ""offed"" herself, he sets out on a road trip, with his Russian rocker friend, to find her. Their journey takes them through an absurd purgatory where they discover that being dead doesn't mean you have to stop livin'!","['independent film', 'break-up', 'ex-boyfriend ex-girlfriend relationship', 'rolling a cigarette', 'autocide', 'record player', 'hypodermic needle', 'missing pet', 'head in oven', 'grocery store', 'arm in cast', 'gun in mouth', 'toast', 'listening to music']","Life is a trip, but the afterlife is one hell of a ride",Released,['English'],['No Matter Pictures'],"['United Kingdom', 'United States of America']",0,0
She Wore a Yellow Ribbon,13909,['Western'],1949-10-22,7.1,61,8.535178,103.0,"After Custer and the 7th Cavalry are wiped out by Indians, everyone expects the worst. Capt. Nathan Brittles is ordered out on patrol but he's also required to take along Abby Allshard, wife of the Fort's commanding officer, and her niece, the pretty Olivia Dandridge, who are being evacuated for their own safety. Brittles is only a few days away from retirement and Olivia has caught the eye of two of the young officers in the Company, Lt. Flint Cohill and 2nd Lt. Ross Pennell. She's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the Cavalry, but refuses to say for whom she is wearing it.","['captain', 'fort', 'retirement', 'attack', 'cavalry']",John Ford's New and Finest Picture of the Fighting Cavalry!,Released,['English'],['RKO Radio Pictures'],['United States of America'],1600000,5400000
Narc,11022,"['Action', 'Crime', 'Drama', 'Thriller']",2002-01-14,6.8,142,8.526635,105.0,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.","['assertion', 'investigation', 'internal affairs', 'narcotics cop']",NaN,Released,"['English', 'Deutsch', 'Polski']","['Paramount Pictures', 'Lions Gate Films', 'Cruise/Wagner Productions']","['Canada', 'United States of America']",6500000,12633747
Mean Creek,12281,"['Crime', 'Drama']",2004-01-15,6.9,106,8.519202,90.0,"Teenagers living in small-town Oregon take a boat trip for a birthday celebration. When they get an idea to play a mean trick on the town bully, it suddenly goes too far. Soon they're forced to deal with the unexpected consequences of their actions.","['suicide', 'alcohol', 'secret', 'birthday', 'lake', 'oregon', 'brother', 'party', 'love', 'friends', 'prank', 'bully', 'drug', 'gay man', 'naked', 'invite', 'dare']","Beneath the surface, everyone has a secret.",Released,['English'],['Whitewater Films'],['United States of America'],500000,603943
Submarine,49020,"['Drama', 'Comedy', 'Romance']",2011-03-18,7.4,443,8.518866,97.0,"15-year-old deep-thinking Welsh schoolboy, Oliver Tate (Craig Roberts) struggles to initiate and maintain a relationship with Jordana (Yasmin Paige), his devilish, dark-haired classmate at their Swansea high school.  As his parents' marriage begins to fall apart, similar problems arise in his relationship with Jordana.","['beach', 'wales', 'friendship', 'bullying', 'teenage girl', 'loss of virginity']",A comedy that doesn't let principles stand in the way of progress.,Released,['English'],"['Film4', 'Film Agency for Wales', 'Red Hour Films', 'Warp (Submarine)', 'Warp Films']","['United Kingdom', 'United States of America']",0,864659
Exiled,13807,"['Action', 'Crime', 'Thriller']",2006-09-06,7.0,46,8.48639,110.0,"A friendship is formed between an ex-gangster, and two groups of hitmen - those who want to protect him and those who were sent to kill him.",Unspecified,NaN,Released,['广州话 / 廣州話'],"['Media Asia Films', 'Milky Way Image Company']",['Hong Kong'],4500000,0
Hell's Angels,22301,"['Action', 'Drama', 'History']",1930-11-15,6.1,19,8.484123,127.0,"Two brothers attending Oxford enlist with the Royal Flying Corps when World War I breaks out. Roy and Monte Rutledge have very different personalities. Monte is a freewheeling womanizer, even with his brother's girlfriend Helen. He also proves to have a yellow streak when it comes to his Night Patrol duties. Roy is made of strong moral fiber and attempts to keep his brother in line. Both volunteer for an extremely risky two man bombing mission for different reasons. Monte wants to lose his cowardly reputation and Roy seeks to protect his brother. Roy loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.  Their assignment to knock out a strategic German munitions facility is a booming success, but with a squadron of fighters bearing down on them afterwards, escape seems unlikely.","['world war i', 'zeppelin', 'royal air force', 'royal flying corps', 'dogfight', 'airship']",Howard Hughes' Thrilling Multi-Million Dollar Air Spectacle,Released,"['Français', 'English', 'Deutsch']",['The Caddo Company'],['United States of America'],3950000,8000000
Pollock,12509,"['Drama', 'Romance']",2000-09-06,6.6,91,8.483531,122.0,"In August of 1949, Life Magazine ran a banner headline that begged the question: ""Jackson Pollock: Is he the greatest living painter in the United States?"" The film is a look back into the life of an extraordinary man, a man who has fittingly been called ""an artist dedicated to concealment, a celebrity who nobody knew."" As he struggled with self-doubt, engaging in a lonely tug-of-war between needing to express himself and wanting to shut the world out, Pollock began a downward spiral.","['artist', 'success', 'relationship problems', 'alcoholism', 'independent film', 'falling in love']",A true portrait of life and art.,Released,['English'],"['Fred Berner Films', 'Zeke Productions']",['United States of America'],0,0
Defendor,34769,"['Drama', 'Action', 'Comedy', 'Crime']",2009-09-12,6.5,195,8.45342,101.0,"A crooked cop, a mob boss and the young girl they abuse are the denizens of a city's criminal underworld. It's a world that ordinary Arthur Poppington doesn't understand and doesn't belong in, but is committed to fighting when he changes into a vigilante super-hero of his own making, Defendor. With no power other than courage Defendor takes to the streets to protect the city's innocents.","['crime fighter', 'delusion', 'superhero']",An unexpected hero will rise.,Released,['English'],"['Alliance Films', 'Darius Films', 'Insight Film Releasing']","['Canada', 'United Kingdom', 'United States of America']",3500000,44462
The World's Fastest Indian,9912,['Drama'],2005-10-12,7.3,166,8.450513,127.0,"The life story of New Zealander Burt Munro, who spent years building a 1920 Indian motorcycle -- a bike which helped him set the land-speed world record at Utah's Bonneville Salt Flats in 1967.","['new zealand', 'utah', ""life's dream"", 'independent film', 'motorcycle', 'motorcycle racing', 'trailer', 'mortgage']",NaN,Released,"['English', 'Français', 'Pусский']","['New Zealand Film Commission', '2929 Productions', 'OLC / Rights Entertainment', 'Tanlay', 'New Zealand Film Production Fund', '3 Dogs and a Pony', 'Park Road Post', 'WFI Productions Ltd.']","['New Zealand', 'Switzerland', 'Japan', 'United States of America']",25000000,0
The Messenger,28089,"['Drama', 'History']",2009-11-13,7.1,119,8.432401,113.0,"Will Montgomery (Ben Foster), a U.S. Army Staff Sergeant who has returned home from Iraq, is assigned to the Army’s Casualty Notification service. Montgomery is partnered with Captain Tony Stone (Woody Harrelson), to give notice to the families of fallen soldiers. The Sergeant is drawn to Olivia Pitterson (Samantha Morton), to whom he has delivered news of her husband’s death.","['independent film', 'wounded', 'soldier', 'iraq war']",The Scars of War Will Last Forever,Released,"['English', 'Español']",['Oscilloscope Laboratories'],['United States of America'],6500000,1521261
The Conformist,8416,['Drama'],1970-10-21,7.6,127,8.429295,107.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.","['paris', 'italy', 'assassin', 'fascism', 'benito mussolini']",Bertolucci's Masterpiece about Sex and Politics,Released,"['English', 'Français', 'Italiano', 'Latin', '普通话']","['Paramount Pictures', 'Mars Films', 'Marianne Productions', 'Maran Film']","['Italy', 'Germany', 'France']",750000,0
Coco Before Chanel,11156,"['Drama', 'History']",2009-04-22,6.6,246,8.426589,110.0,"2009 biopic about the early life of Coco Chanel. Several years after leaving the orphanage, to which her father never returned for her, Gabrielle Chanel finds herself working in a provincial bar both. She's both a seamstress for the performers and a singer, earning the nickname Coco from the song she sings nightly with her sister. A liaison with Baron Balsan gives her an entree into French society and a chance to develop her gift for designing.","['fashion designer', 'woman director']",Before she was France's famous mademoiselle...,Released,"['Français', 'English']","['France 2 Cinéma', 'Haut et Court', 'SCOPE Invest', 'Ciné@', 'Canal+', 'Warner Bros.', 'CinéCinéma', 'Scope Pictures', 'Soficapital', 'France 2 (FR2)', 'Le Tax Shelter du Gouvernement Fédéral de Belgique', 'Cofinova 5', 'Films Distribution', 'Banque Populaire Images 9']","['Belgium', 'France']",0,0
Katy Perry: Part of Me,101267,"['Documentary', 'Music']",2012-06-28,6.5,85,8.410688,93.0,"Giving fans unprecedented access to the real life of the music sensation, Katy Perry: Part of Me exposes the hard work, dedication and phenomenal talent of a girl who remained true to herself and her vision in order to achieve her dreams. Featuring rare behind-the-scenes interviews, personal moments between Katy and her friends, and all-access footage of rehearsals, choreography, Katy’s signature style and more, Katy Perry: Part of Me reveals the singer’s unwavering belief that if you can be yourself, then you can be anything.",['woman director'],Be yourself and you can be anything,Released,['English'],"['Paramount Pictures', 'Imagine Entertainment', 'MTV Films', 'Insurge Pictures']",['United States of America'],12000000,32726956
The Cottage,13849,"['Horror', 'Comedy', 'Crime', 'Thriller']",2008-02-07,6.3,80,8.39685,92.0,"In a remote part of the countryside, a bungled kidnapping turns into a living nightmare for four central characters when they cross paths with a psychopathic farmer and all hell breaks loose.","['ransom', 'hostage', 'hostage drama']",Sleeps Six Bloody Comfortably,Released,"['English', 'Français', 'Polski']","['Isle of Man Film', 'UK Film Council', 'Screen Yorkshire', 'Steel Mill Pictures']",['United Kingdom'],0,0
This Is England,11798,"['Drama', 'Crime']",2006-09-12,7.4,363,8.395624,101.0,"A story about a troubled boy growing up in England, set in 1983. He comes across a few skinheads on his way home from school, after a fight. They become his new best friends even like family. Based on experiences of director Shane Meadows.","['holiday', 'skinhead', 'england', 'vandalism', 'independent film', 'gang', 'racism', 'summer', 'youth', 'violence', 'drug', 'unemployment', 'xenophobia', 'culture']","Run with the crowd, stand alone, you decide.",Released,['English'],"['EM Media', 'UK Film Council', 'Screen Yorkshire', 'Big Arty Productions']",['United Kingdom'],2380000,8176544
Easy Virtue,16899,"['Comedy', 'Romance']",2008-01-01,6.3,108,8.387573,93.0,"A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window.",Unspecified,Let's Misbehave!,Released,['English'],"['BBC Films', 'Endgame Entertainment', 'Ealing Studios', 'Fragile Films', 'Odyssey Entertainment', 'Prescience', 'Joe Abrams Productions']","['Canada', 'United Kingdom']",0,0
The Best Years of Our Lives,887,"['Drama', 'History', 'Romance']",1946-12-25,7.6,143,8.38717,172.0,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family that's grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?","['usa', 'post traumatic stress  disorder', 'war veteran', 'world war ii', 'rehabilitation', 'bodily disabled person']",Three wonderful loves in the best picture of the year!,Released,['English'],"['Samuel Goldwyn Company, The']",['United States of America'],2100000,23650000
Miss Potter,13967,"['Drama', 'Family', 'Romance']",2006-12-03,6.3,141,8.386432,92.0,"The story of Beatrix Potter, the author of the beloved and best-selling children's book, ""The Tale of Peter Rabbit"", and her struggle for love, happiness and success.","['loss of lover', 'mountain lake', 'author', 'rabbit']",The life of Beatrix Potter is the most enchanting tale of all.,Released,['English'],['BBC Films'],"['United Kingdom', 'United States of America']",30000000,35078241
Peaceful Warrior,13689,"['Drama', 'Romance']",2006-03-30,7.3,90,8.326131,120.0,A chance encounter with a stranger changes the life of a college gymnast.,Unspecified,There are no ordinary moments.,Released,['English'],['Universal'],"['Germany', 'United States of America']",0,0
Young Sherlock Holmes,11904,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Mystery', 'Thriller']",1985-12-04,6.7,167,8.321586,109.0,"Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.","['london england', 'school friend', 'religion and supernatural', 'sherlock holmes', 'murder', 'aftercreditsstinger']","Before a lifetime of adventure, they lived the adventure of a lifetime.",Released,['English'],"['Paramount Pictures', 'Amblin Entertainment']",['United States of America'],18000000,0
Michael Collins,1770,"['Drama', 'Thriller']",1996-10-25,6.7,97,8.314624,132.0,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic.","['civil war', 'fight', 'presidential election', 'freedom fighter', 'chinese civil war', 'ireland']","Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny.",Released,['English'],"['Geffen Pictures', 'Warner Bros.']","['Ireland', 'United Kingdom']",28000000,16900000
Adam,22051,"['Drama', 'Romance']",2009-07-29,6.9,150,8.308442,99.0,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.","[""children's book"", ""asperger's syndrome"", 'electrical engineer', ""asperger's""]",A story about two strangers. One a little stranger than the other...,Released,['English'],"['Vox3 Films', 'Serenade Films', 'Olympus Pictures', 'Deer Path Productions', 'Northwood Productions']",['United States of America'],0,2277396
A Lonely Place to Die,81390,"['Adventure', 'Action', 'Thriller', 'Crime']",2011-04-09,6.2,157,8.30723,99.0,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness. They become caught up in a terrifying game of cat and mouse with the kidnappers as they try to get the girl to safety.,"['terror', 'scotland', 'kidnapping', 'nudity', 'wilderness', 'mountaineer', 'hiking', 'climbing', 'torture']","Out here, there's nowhere to hide.",Released,"['English', 'Italiano']","['Carnaby International', 'Molinare Studios', 'Eigerwand Pictures']",['United Kingdom'],4000000,25345000
Oliver!,17917,"['Drama', 'Family', 'Music']",1968-09-26,7.0,103,8.305998,153.0,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.","['pickpocket', 'musical', 'victorian england', 'orphan']",Much Much More Than a Musical!,Released,['English'],"['Columbia Pictures Corporation', 'Warwick Film Productions', 'Romulus Films']",['United Kingdom'],10000000,37402877
Glory Road,9918,['Drama'],2006-01-13,7.2,144,8.305085,118.0,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.","['basketball', 'racial segregation', 'teachers and students']",The incredible story of the team that changed the game forever.,Released,['English'],['Walt Disney Pictures'],['United States of America'],0,42647449
Big Miracle,78698,"['Adventure', 'Drama', 'Romance']",2012-02-02,6.6,152,8.303696,107.0,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose.","['whale', 'alaska', 'aftercreditsstinger', 'duringcreditsstinger', 'greenpeace', 'animal protection']",A family of whales trapped beneath the ice. One unforgettable rescue.,Released,['English'],"['Universal Pictures', 'Anonymous Content', 'Working Title Films']","['United Kingdom', 'United States of America']",40000000,24719215
Two Lovers,10362,"['Drama', 'Romance']",2008-11-19,6.6,154,8.290636,110.0,A depressed man moves back in with his parents following a recent heartbreak.,"[""love of one's life"", 'neighbor']",NaN,Released,['English'],"['2929 Productions', 'Wild Bunch', 'Tempesta Films']","['France', 'United States of America']",12000000,3148182
Kung Pow: Enter the Fist,11891,"['Action', 'Comedy']",2002-01-25,6.1,159,8.288813,81.0,"A movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters","['loss of family', 'loss of parents', 'supernatural powers', 'invulnerability', 'spoof', 'evil', 'murder hunt']",NaN,Released,['English'],"['Twentieth Century Fox Film Corporation', 'O Entertainment']","['Hong Kong', 'United States of America']",0,0
The Fast and the Furious: Tokyo Drift,9615,"['Action', 'Crime', 'Drama', 'Thriller']",2006-06-03,6.1,1705,8.282876,104.0,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing","['car race', 'car journey', 'car mechanic', 'auto', 'car garage', 'auto-tuning', 'drifting', 'car', 'automobile racing']","On the streets of Tokyo, speed needs no translation...",Released,"['English', '日本語']",['Universal Pictures'],"['Japan', 'United States of America']",85000000,158468292
The Black Hole,9570,"['Adventure', 'Family', 'Science Fiction', 'Action']",1979-12-18,6.1,131,8.265317,98.0,"The explorer craft U.S.S. Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the magnificent U.S.S. Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, Maximillian. But the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans.","['killer robot', 'space marine', 'ghost ship', 'black hole']",A journey that begins where everything ends!,Released,['English'],['Walt Disney Productions'],['United States of America'],20000000,35841901
Two Evil Eyes,29514,"['Horror', 'Thriller']",1990-01-25,6.0,35,8.218383,120.0,"Two horror segments based on Edgar Allan Poe stories set in and around the city of Pittsburgh. ""The Facts in the Case of M. Valdemar"" concerns a cheating wife who is trying to scam her dying husband out of millions by having her doctor/hypnotist lover hypnotize the geezer into signing his dough over to her. The old man dies while under hypnosis and is stuck in the limbo between the here and the hereafter. The door to the physical world is opened and the undead attempt to enter it. ""Black Cat"" is the story of Rodd Usher, an alcoholic photographer/artist, who descends into madness after he kills a stray cat that his live-in girlfriend Annabelle brings home. One murder leads to another, and the complex cover-ups begin.","['cat', 'photographer', 'nightmare', 'hallucination', 'hypnosis', 'greed', 'alcoholism', 'anthology', 'zombie', 'spirit', 'violence', 'horror anthology']",When I wake you... you'll be dead,Released,['English'],Unspecified,"['Italy', 'United States of America']",9000000,0
Ca$h,27004,"['Crime', 'Thriller', 'Comedy']",2010-01-01,6.0,73,8.207425,108.0,"A stroke of good luck turns lethal for Sam Phelan and his wife Leslie when they are faced with a life-changing decision that brings strange and sinister Pyke Kubic to their doorstep. As Pyke leads Sam and Leslie on a tumultuous adventure through the streets of Chicago, each are pulled deeper and deeper into a desperate spiral of deception and violence – all in the name of money.","['independent film', 'money']",NaN,Released,"['English', 'Français']","['Immortal Thoughts', 'Three Good Men']",['United States of America'],7000000,46488
8 Women,1958,"['Comedy', 'Thriller', 'Music', 'Crime', 'Mystery']",2002-01-08,6.9,196,8.204829,111.0,"Eight women gather to celebrate Christmas in a snowbound cottage, only to find the family patriarch dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret.","['upper class', 'women', 'father murder', 'daughter', 'maid', 'father figure', 'murder hunt']",Living in a house full of women can be murder.,Released,['Français'],"['France 2 Cinéma', 'Fidélité Productions', 'Le Studio Canal+', 'Centre National de la Cinématographie', 'Gimages 5', 'Mars Films']","['France', 'Italy']",8000000,0
Freeheld,306745,"['Romance', 'Drama']",2015-10-02,7.1,164,8.184588,103.0,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,"['new jersey', 'equality', 'lesbian relationship', 'cancer']",A true story of love and injustice.,Released,['English'],"['Double Feature Films', 'Endgame Entertainment', 'High Frequency Entertainment']",['United States of America'],7000000,573335
The Assassin,253450,"['Action', 'Drama', 'History']",2015-08-27,6.6,157,8.142166,105.0,A female assassin during the Tang Dynasty who begins to question her loyalties when she falls in love with one of her targets.,"['assassin', 'tang dynasty', 'ancient china', 'wuxia', 'slow cinema']",NaN,Released,['普通话'],"['Media Asia Films', 'Sil-Metropole Organisation', 'Central Motion Pictures', 'Zhejiang Huace Film & TV', 'China Dream Film Culture Industry', 'SpotFilms']","['China', 'France', 'Hong Kong', 'Taiwan']",15000000,632542
Lords of Dogtown,9787,['Drama'],2005-06-03,7.0,210,8.127728,107.0,"The film follows the surf and skateboarding trends that originated in Venice, California during the 1970s.","['skateboarding', 'success', 'independent film', 'woman director']","They never thought they'd be famous, but they always thought they'd be friends.",Released,"['English', 'Español']","['Columbia Pictures', 'TriStar Pictures']","['Germany', 'United States of America']",25000000,13411957
Monsoon Wedding,480,"['Comedy', 'Drama', 'Romance']",2001-08-30,6.8,57,8.109958,114.0,From an exciting Indian wedding comes a relationship from two different times not only showing the modern but also the traditional. Different characters and stories interact with each other in director Mira Nair film where she used an Indian-American production to illustrate these themes modern day Indians are very familiar with.,"['child abuse', 'adultery', 'arranged marriage', 'bollywood', 'wedding', 'woman director', 'wedding arranger', 'class system']","A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Released,"['English', 'हिन्दी']","['IFC Films', 'Mirabai Films', 'The Criterion Collection']",['India'],0,0
Ghosts of Mississippi,31908,"['History', 'Drama']",1996-12-20,6.2,40,8.102925,130.0,"Ghosts of Mississippi is a drama covering the final trial of the assassin, Bryon De La Beckwith, of the 60s civil rights leader Medgar Evers. It begins with the murder and the events surrounding the two initial trials which both ended in a hung jury. The movie then covers District Attorney, Bobby DeLaughters transformation and alliance with Myrlie Evers, wife of Medgar Evers, of the, as he becomes more involved with bringing Beckwith to trial for the third time 30 years later. Some of the characters are played by the actual participants in this story.","['assassin', 'widow', 'trial', 'civil rights', 'activist']",From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,Released,['English'],"['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],0,0
Beyond the Lights,241771,"['Romance', 'Drama']",2014-09-10,7.0,139,8.079046,116.0,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?","['talent', 'success', 'musician', 'woman director']","Open your heart, find your voice.",Released,['English'],"['Relativity Media', 'Homegrown Pictures', 'Black Entertainment Television (BET)', 'Relativity Sports', 'Undisputed Cinema']",['United States of America'],7000000,14618727
The Four Seasons,25113,"['Comedy', 'Drama', 'Romance']",1981-05-22,6.3,16,8.067702,107.0,"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",Unspecified,NaN,Released,['English'],['Universal Pictures'],['United States of America'],0,0
The Lady from Shanghai,3766,"['Crime', 'Drama', 'Mystery']",1947-12-24,7.2,102,8.055084,87.0,A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,"['new york', 'san francisco', 'aquarium', 'shanghai', 'yacht', 'romantic rivalry', 'insurance fraud', 'court', 'blonde', 'suspense', 'classic noir', 'film noir']",I told you... you know nothing about wickedness,Released,"['广州话 / 廣州話', 'English']","['Columbia Pictures Corporation', 'Mercury Productions']",['United States of America'],2300000,0
The Hunting Party,5353,"['Action', 'Adventure', 'Thriller', 'Drama']",2007-09-03,6.6,96,8.048305,101.0,"An emerging journalist (Jesse Eisenberg), an experienced cameraman (Terrence Howard), and a discredited reporter (Richard Gere) find their bold plan to capture Bosnia's top war criminal quickly spiraling out of control when a UN representative mistakes them for a CIA hit squad in a light-hearted thriller inspired by Scott Anderson's popular Esquire article. The Weinstein Company provides stateside","['civil war', 'spy', 'hotel', 'journalist', 'journalism', 'war crimes', 'hidden camera', 'war victim', 'war correspondent', 'war', 'balkan war', 'serbia']",How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],Released,"['English', 'Magyar', '']",['Intermedia Films'],"['Bosnia and Herzegovina', 'United States of America']",0,0
Owning Mahowny,15394,"['Crime', 'Drama', 'Thriller']",2003-05-02,6.8,37,8.045488,104.0,"Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.","['female nudity', 'gambling', 'casino', 'nudity', 'banker', 'toronto', 'fraud', 'niagara falls', 'based on true story', 'atlantic city', 'money', 'las vegas', 'surveillance', 'gambler', 'bank fraud']",To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything,Released,['English'],"['Alliance Atlantis Communications', 'Natural Nylon Entertainment', 'Téléfilm Canada', 'Astral Media', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Ontario Film and Television Tax Credit (OFTTC)']","['Canada', 'United Kingdom']",0,0
The Beyond,19204,['Horror'],1981-04-22,6.6,117,8.022122,87.0,"A young woman inherits an old hotel in Louisiana where after a series of supernatural 'accidents', she learns that the building was built over one of the entrances to Hell.","['hotel', 'experiment', 'hell', 'gore', 'morgue', 'undead', 'blood', 'zombie', 'violence', 'gothic horror', 'gothic', 'mutilation', 'ghost', 'blindness', 'video nasty', 'acid', 'grim', 'dire', 'entrails']","The seven dreaded gateways to Hell are concealed in seven cursed places… And from the day the gates of Hell are opened, the dead will walk the earth.",Released,"['English', 'Italiano']",['Fulvia Film'],['Italy'],0,0
